书名,评分
Kotlin实战,9.2,https://book.douban.com/subject/27093660/
算法问题实战策略,9.1,https://book.douban.com/subject/26315483/
Effective C++中文版,9.2,https://book.douban.com/subject/1231590/
Linux/Unix设计思想,9.6,https://book.douban.com/subject/7564417/
Python数据分析,9.3,https://book.douban.com/subject/26274624/
Python Cookbook,9.1,https://book.douban.com/subject/20491078/
"Growing Object-Oriented Software, Guided by Tests",9.5,https://book.douban.com/subject/4156589/
Readings in Database Systems,9.6,https://book.douban.com/subject/2256069/
Processing,9.0,https://book.douban.com/subject/2043236/
Ruby元编程,9.4,https://book.douban.com/subject/7056800/
The Mythical Man Month and Other Essays on Software Engineering,9.1,https://book.douban.com/subject/1494471/
Julia语言程序设计,9.4,https://book.douban.com/subject/30363172/
全景探秘游戏设计艺术,9.0,https://book.douban.com/subject/4837351/
Spring Microservices in Action,9.0,https://book.douban.com/subject/27005082/
JavaScript高级程序设计:第2版,9.4,https://book.douban.com/subject/4886879/
深入理解Kafka：核心设计与实践原理,9.2,https://book.douban.com/subject/30437872/
梦断代码,9.2,https://book.douban.com/subject/3142280/
高等应用数学问题的MATLAB求解,9.2,https://book.douban.com/subject/3248794/
Head First JavaScript程序设计,9.4,https://book.douban.com/subject/27120520/
数据库系统实现,9.0,https://book.douban.com/subject/4838430/
Java数据结构和算法,9.1,https://book.douban.com/subject/1144007/
时间触发嵌入式系统设计模式,9.1,https://book.douban.com/subject/1168618/
MacTalk 人生元编程,9.4,https://book.douban.com/subject/25826578/
Java入门123,9.0,https://book.douban.com/subject/4732242/
"Eloquent Javascript, 3rd Edition",9.6,https://book.douban.com/subject/30275136/
C Primer Plus,9.4,https://book.douban.com/subject/25802313/
Learning Processing,9.0,https://book.douban.com/subject/3143256/
Creative Code,9.1,https://book.douban.com/subject/1365710/
给孩子的编程启蒙书(什么是算法和程序漏洞)(精)/小创客的第一课,9.6,https://book.douban.com/subject/30430728/
Scikit-Learn与TensorFlow机器学习实用指南（影印版）,9.2,https://book.douban.com/subject/27154347/
嗨翻C语言,9.4,https://book.douban.com/subject/25703412/
UNIX网络编程 卷2,9.1,https://book.douban.com/subject/4118577/
C程序设计语言,9.6,https://book.douban.com/subject/1882483/
SQL Performance Explained,9.3,https://book.douban.com/subject/21363149/
ANSI Common Lisp,9.1,https://book.douban.com/subject/1456906/
Offer来了：Java面试核心知识点精讲（原理篇）,9.6,https://book.douban.com/subject/34872163/
Go并发编程实战（第2版）,9.4,https://book.douban.com/subject/27016236/
格蠹汇编,9.6,https://book.douban.com/subject/22994051/
老码识途,9.1,https://book.douban.com/subject/19930393/
剑指Offer,9.2,https://book.douban.com/subject/25910559/
Parsing Techniques,9.5,https://book.douban.com/subject/4291903/
Python编程初学者指南,9.4,https://book.douban.com/subject/26287445/
Linux 系统编程（第二版）,9.0,https://book.douban.com/subject/25828773/
Mastering Bitcoin,9.0,https://book.douban.com/subject/27073959/
计算机系统要素,9.1,https://book.douban.com/subject/1998341/
Kafka,9.0,https://book.douban.com/subject/26828527/
A Byte of Python,9.0,https://book.douban.com/subject/26607672/
R in Action,9.3,https://book.douban.com/subject/24830014/
游戏编程模式,9.6,https://book.douban.com/subject/26880704/
Build Awesome Command-Line Applications in Ruby 2,9.0,https://book.douban.com/subject/25772411/
Rails 5敏捷开发,9.2,https://book.douban.com/subject/27615703/
微软研发 制胜策略,9.3,https://book.douban.com/subject/1024478/
51单片机工程师是怎样炼成的,9.8,https://book.douban.com/subject/10437095/
C++标准库（第2版）,9.2,https://book.douban.com/subject/26419721/
Windows内核原理与实现,9.2,https://book.douban.com/subject/4719159/
Absolute Beginner's Guide to C,9.2,https://book.douban.com/subject/2622021/
Statistics for Business and Economics,9.2,https://book.douban.com/subject/5472861/
数据结构与算法分析,9.1,https://book.douban.com/subject/4924153/
Effective Java（第3版）（英文版）,9.2,https://book.douban.com/subject/30262030/
Digital Modeling of Material Appearance,9.0,https://book.douban.com/subject/3179284/
Verilog数字系统设计教程,9.3,https://book.douban.com/subject/1237806/
Understanding Compression,9.1,https://book.douban.com/subject/26805118/
失效的科学,9.3,https://book.douban.com/subject/27050905/
面向对象葵花宝典：思想、技巧与实践,9.2,https://book.douban.com/subject/26674160/
编程人生（上卷）,9.1,https://book.douban.com/subject/26248211/
Julia机器学习核心编程：人人可用的高性能科学计算,9.6,https://book.douban.com/subject/34825367/
深入理解Spring Cloud与微服务构建,9.0,https://book.douban.com/subject/30180533/
游戏编程入门（第4版）,9.1,https://book.douban.com/subject/26707132/
Algorithm Design,9.0,https://book.douban.com/subject/1475870/
Database System Concepts,9.2,https://book.douban.com/subject/4740662/
啊哈C！思考快你一步,9.1,https://book.douban.com/subject/25716079/
Java核心技术 卷I 基础知识 第11版 英文版 上下册,9.2,https://book.douban.com/subject/33416615/
